sku,Name,Brand,Categories,Price,Discount,Sale Price,Description,Images,Length,Width,Height
110372,Eichholtz Gamma Console Table,EICHHOLTZ,Tables > Console Tables,5220,25%,3915,"Bronze finish | clear glass

62.99"" x 17.72"" x 29.92"" H

Add a touch of timeless beauty to your interior with the Gamma Console Table. With its clean graphic lines it’s reminiscent of the iconic design furniture of Bauhaus. Constructed from stainless steel, it features a bronze finish and a clear glass tabletop.","110372-1, 110372-2, 110372-3, 110372-4, 110372-5",62.99,17.72,29.92
114025,Eichholtz Gamma Console Table,EICHHOLTZ,Tables > Console Tables,5025,25%,3768.75,"Brushed brass finish | clear glass

62.99"" x 17.72"" x 29.92"" H

Add a touch of timeless beauty to your interior with the Gamma Console Table. With its clean graphic lines it’s reminiscent of the iconic design furniture of Bauhaus. Constructed from stainless steel, it features a brushed brass finish and a clear glass tabletop.","114025-1, 114025-2",62.99,17.72,29.92
105454,Eichholtz Carlisle Column ,EICHHOLTZ,Accessories > Pedestals ,2895,25%,2171.25,"Polished stainless steel

13.78"" x 13.78"" x 47.24"" H

Characterised by an architectural design and a slanted line pattern, the sleek and shiny Carlisle Column is a fine addition to modern and contemporary décors. It is crafted from stainless steel and features a polished finish.

ICONIC EYE-CATCHER
Inspired by New Objectivity or New Pragmatism (Dutch and German modernist architecture from the 1920s and 1930s), the Eichholtz Carlisle series is characterised by angular shapes and a design that is free of ornamentation and decoration. Mix with design lighting and furniture from the Eichholtz collection for a sleek, distinctive interior style.","105454-1, 105454-2, 105454-3",13.75,13.75,47.24
114030,Eichholtz Palmer Side Table,EICHHOLTZ,Tables > End Tables,3075,25%,2306.25,"Brushed brass finish | smoke glass

25.59"" x 25.59"" x 21.65"" H","114030-1, 114030-2",25.59,25.59,21.65
109994,Eichholtz Palmer Side Table,EICHHOLTZ,Tables > End Tables,2865,25%,2148.75,"Gold finish | black glass

25.59"" x 25.59"" x 21.65"" H

Relive the unmatched grandeur of the Art Deco era with the first-rate Palmer Side Table. Crafted from stainless steel, it features a glossy gold finish and a tempered smoke glass tabletop.

FABULOUS ART DECO SUCCESSOR
Relive the unmatched grandeur of the Art Deco era with the Eichholtz Palmer series. Each element is an eye catcher, handcrafted with meticulous care by skilled artisans. Combine with luxury lighting and accessories of the Eichholtz collection for a glamorous interior.

POLISHED STAINLESS STEEL AND TEMPERED GLASS
Solid constructions of stainless steel, finely finished and highly polished, with tempered smoke glass tabletops.","109994-1, 109994-2, 109994-3",25.59,25.59,21.65
108983,Eichholtz Palmer Side Table,EICHHOLTZ,Tables > End Tables,2550,25%,1912.5,"Polished stainless steel | smoke glass

25.59"" x 25.59"" x 21.65"" H

Relive the unmatched grandeur of the Art Deco era with the first-rate Palmer Side Table. Crafted from stainless steel, it features a polished finish and a tempered smoke glass tabletop. Combine with luxury lighting and accessories of the Eichholtz collection for a glamorous interior.","108983-1, 108983-2, 108983-3, 108983-4",25.59,25.59,21.65
114024,Eichholtz Palmer Coffee Table,EICHHOLTZ,Tables > Cocktail Tables,4395,25%,3296.25,"Brushed brass finish | smoke glass

39.37"" x 39.37"" x 17.72"" H","114024-1, 114024-2",39.37,39.37,17.72
109992,Eichholtz Palmer Coffee Table,EICHHOLTZ,Tables > Cocktail Tables,4215,25%,3161.25,"Gold finish | black glass

39.37"" x 39.37"" x 17.72"" H

Relive the unmatched grandeur of the Art Deco era with the first-rate Palmer Coffee Table. Crafted from stainless steel, it features a glossy gold finish and a tempered smoke glass tabletop. Combine with luxury lighting and accessories of the Eichholtz collection for a glamorous interior.","109992-1, 109992-2, 109992-3, 109992-4",39.37,39.37,17.72
108981,Eichholtz Palmer Coffee Table,EICHHOLTZ,Tables > Cocktail Tables,3975,25%,2981.25,"Polished stainless steel | smoke glass

39.37"" x 39.37"" x 17.72"" H

Relive the unmatched grandeur of the Art Deco era with the first-rate Palmer Coffee Table. Crafted from stainless steel, it features a polished finish and a tempered smoke glass tabletop. Combine with luxury lighting and accessories of the Eichholtz collection for a glamorous interior.","108981-1, 108981-2, 108981-3, 108981-4",39.37,39.37,17.72
114027,Eichholtz Palmer Console Table,EICHHOLTZ,Tables > Console Tables,4395,25%,3296.25,"Brushed brass finish | smoke glass

62.99"" x 17.72"" x 29.92"" H","114027-1, 114027-2",62.99,17.72,29.92
