sku,Name,Brand,Categories,Price,Description,Images,Length,Width,Height
400740,EPICUREAN 43? OBLONG CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,5640,"Island fixture in charred iron finish with brulée highlights. Features hand decorated shades of mica and burnished gold candelabra. 

MODEL NUMBER 
400740 
DIMENSIONS 
23” H x 43” W x 26” D ( 58.42 cm x 109.22 cm x 66.04 cm ) 
NET WEIGHT 
28 lbs., 12.73 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","400740-1, 400740-2, 400740-3",,,
771240,CRYSTAL LAUREL 75? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,29330,"Chandelier in an antique taupe finish with silver leafed accents and stylized faceted crystal leaves. Also available in gold leaf finish, item# 774540. 

MODEL NUMBER 
771240 
DIMENSIONS 
75” H x 75” W ( 190.5 cm x 190.5 cm ) 
NET WEIGHT 
125 lbs., 56.82 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","771240-1, 771240-2, 771240-3, 771240-4",,,
771140,CRYSTAL LAUREL 57? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,21020,"Chandelier in an antique taupe finish with silver leafed accents and stylized faceted crystal leaves. Also available in gold leaf finish, item# 774440. 

MODEL NUMBER 
771140 
DIMENSIONS 
63” H x 57” W ( 160.02 cm x 144.78 cm ) 
NET WEIGHT 
88 lbs., 40.0 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","771140-1, 771140-2, 771140-3",,,
748840,CASCADES 42? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,9510,"Chandelier in a warm silver leaf finish featuring woven hand-cut crystals. 

MODEL NUMBER 
748840 
DIMENSIONS 
42” H x 42” W ( 106.68 cm x 106.68 cm ) 
NET WEIGHT 
47 lbs., 21.36 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","748840-1, 748840-2, 748840-3",,,
748740,CASCADES 29? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,6570,"Chandelier in a warm silver leaf finish featuring woven hand-cut crystals. 

MODEL NUMBER 
748740 
DIMENSIONS 
32” H x 29” W ( 81.28 cm x 73.66 cm ) 
NET WEIGHT 
34 lbs., 15.45 kgs 
ELECTRICAL 
US Bulb: G 16.5, 60W, Candelabra, Not Included 
INTL Bulb: G45 E14, 60W, Candelabra, Not Included","748740-1, 748740-2, 748740-3, 748740-4",,,
700840,BEVELED ARCS 74? OBLONG CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,7830,"Oblong chandelier in a warm muted silver leaf finish featuring beveled crystal accents. 

MODEL NUMBER 
700840 
DIMENSIONS 
42” H x 74” W x 26” D ( 106.68 cm x 187.96 cm x 66.04 cm ) 
NET WEIGHT 
31 lbs., 14.09 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","700840-1, 700840-2, 700840-3",,,
701340,BEVELED ARCS 56? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,11500,"Chandelier in warm muted silver leaf finish. Features beveled crystal accents. 

MODEL NUMBER 
701340 
DIMENSIONS 
59” H x 56” W ( 149.86 cm x 142.24 cm ) 
NET WEIGHT 
62 lbs., 28.18 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","701340-1, 701340-2, 701340-3, 701340-4, 701340-5",,,
136740,A MIDSUMMER NIGHTS DREAM 57? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,12230,"Chandelier in cool moonlit patina with moon dusted crystals. Hand-sewn, silk shantung shades. 

MODEL NUMBER 
136740 
DIMENSIONS 
69” H x 57” W ( 175.26 cm x 144.78 cm ) 
NET WEIGHT 
94 lbs., 42.73 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","136740-1, 136740-2, 136740-3, 136740-4",,,
171740,A MIDSUMMER NIGHTS DREAM 47? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,13110,"Chandelier in a cool moonlit patina with moon dusted rosettes. Hand-sewn, silk shantung shades. 

MODEL NUMBER 
171740 
DIMENSIONS 
56” H x 47” W ( 142.24 cm x 119.38 cm ) 
NET WEIGHT 
78 lbs., 35.45 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","171740-1, 171740-2, 171740-3",,,
137140,A MIDSUMMER NIGHTS DREAM 42? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,9770,"Two-tier chandelier in a cool moonlit patina with strands of moon dusted crystal beads. Hand-sewn, silk shantung shades. 

MODEL NUMBER 
137140 
DIMENSIONS 
46” H x 42” W ( 116.84 cm x 106.68 cm ) 
NET WEIGHT 
48 lbs., 21.82 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","137140-1, 137140-2, 137140-3",,,
162740,A MIDSUMMER NIGHTS DREAM 38? ROUND CHANDELIER,Fine Art Lamps,Lighting > Chandeliers,7340,"Chandelier in cool moonlit patina with moon dusted crystals. Hand-sewn, silk shantung shades. 

MODEL NUMBER 
162740 
DIMENSIONS 
51” H x 38” W ( 129.54 cm x 96.52 cm ) 
NET WEIGHT 
47 lbs., 21.36 kgs 
ELECTRICAL 
US Bulb: B 10, 60W, Candelabra, Not Included 
INTL Bulb: B35 E14, 60W, Candelabra, Not Included","162740-1, 162740-2, 162740-3",,,
