sku,Name,Brand,Categories,Price,Description,Images,Length,Width,Height
V2914D12C-RC,Elegant Lighting Amelie 4-Light Chrome Pendant,Elegant Lighting,Lighting > Pendants,284,"V2914D12C/RC

Amelie 4 light Chrome Pendant Clear Royal Cut Crystal

Dimesions:
Chain/Rod Length: 60"" 
Length: 12"" 
Width: 12"" 
Height: 4.5"" 
Maximum Height: 59.1"" 
Wire Length: 70.9""

Finish: 
Chrome

Crystal/Glass Color: clear

Material: 
Iron & Crystal

Product Weight: 
6.38

Style: 
Contemporary","V2914D12C-RC-1, V2914D12C-RC-2, V2914D12C-RC-3, V2914D12C-RC-4, V2914D12C-RC-5, V2914D12C-RC-6, V2914D12C-RC-7",12,12,4.5
V2092D24C-RC,Elegant Lighting Influx 14-Light Chrome Pendant,Elegant Lighting,Lighting > Pendants,680,"V2092D24C/RC

Influx 14 light Chrome Pendant Clear Royal Cut Crystal

Dimensions:
Chain/Rod Length: 59.1""
Length: 24""
Width: 24""
Height: 12""
Maximum Height: 72""
Wire Length: 70.9""

Finish: 
Chrome

Crystal/Glass Color: clear

Material: 
Iron, Aluminum, & Crystal

Product Weight: 
30.8

Style: 
Contemporary",V2092D24C-RC-1,24,24,12
1705G3LSDG,Elegant Lighting Malta 128-Light Satin Dark Grey Chandelier,Elegant Lighting,Lighting > Chandeliers,3754,"1705G3LSDG

Malta 128 light Satin Dark Grey Chandelier Clear Royal Cut Crystal

The Malta collection is an amazing blend of Old World functionality and 21st-century technology. 

Dimensions:
Chain/Rod Length: 98"" 
Length: 42"" 
Width: 42"" 
Height: 36"" 
Maximum Height: 92.5"" 
Wire Length: 98""

Finish: 
Satin Dark Grey

Crystal/Glass Color: Clear

Color Temperature: 3000K 
Lumens: 16100

Hardware Material: 
Iron

Material: 
metal + crystal

Product Weight: 
63.8

Style: 
Contemporary",1705G3LSDG-1,42,42,36
V2038G42C,Elegant Lighting 38-Light Maxime Chandelier,Elegant Lighting,Lighting > Chandeliers,5428,"V2038G42C/EC

2038 Maxime Collection Chandelier Chrome Finish (Elegant Cut Crystals)

Dimensions:
Chain/Rod Length: 60""
Length: 42""
Width: 42""
Height: 60""
Maximum Height: 120""
Wire Length: 141.73""

Finish: 
Chrome

Crystal/Glass Color: clear

Material: 
Steel & Crystal

Number of Bulbs: 
38

Product Weight: 
108

Style: 
Contemporary",V2038G42C-1,42,42,60
V2038G42C-GT,Elegant Lighting 38-Light Maxime Chandelier,Elegant Lighting,Lighting > Chandeliers,4998,"V2038G42C-GT/RC

2038 Maxime Collection Chandelier Chrome Finish (Royal Cut Crystals)

Dimensions: 
Chain/Rod Length: 60"" 
Length: 42"" 
Width: 42"" 
Height: 60"" 
Wire Length: 141.73""

Finish: 
Chrome

Crystal/Glass Color: Golden Teak (Smoky)

Material: 
Steel & Crystal

Product Weight: 
108

Style: 
Contemporary
",V2038G42C-GT-1,42,42,60
V7815G33C,Elegant Lighting 15-Light Verona Chandelier,Elegant Lighting,Lighting > Chandeliers,1508,"V7815G33C/EC

7815 Verona Collection Chandelier Chrome Finish (Elegant Cut Crystals)

Dimensions 
Chain/Rod Length: 60"" 
Length: 33"" 
Width: 33"" 
Height: 52"" 
Maximum Height: 112"" 
Wire Length: 173""

Finish: 
Chrome

Crystal/Glass Color: clear

Material: 
Steel & Glass

Number of Bulbs: 
15

Product Weight: 
62

Style: 
Transitional","V7815G33C-1, V7815G33C-2, V7815G33C-3, V7815G33C-4, V7815G33C-5, V7815G33C-6, V7815G33C-7",33,33,52
V7815G33C-GT,Elegant Lighting 15-Light Verona Chandelier,Elegant Lighting,Lighting > Chandeliers,1798,"V7815G33C-GT/RC

7815 Verona Collection Chandelier Chrome Finish (Royal Cut Crystals)

Dimensions: 
Chain/Rod Length: 60"" 
Length: 33"" 
Width: 33"" 
Height: 52"" 
Wire Length: 173""

Finish: 
Chrome

Crystal/Glass Color: Golden Teak (Smoky)

Material: 
Steel & Glass

Number of Bulbs: 
15

Product Weight: 
62

Style: 
Transitional",V7815G33C-GT-1,33,33,52
V7815G33SS-SS,Elegant Lighting 15-Light Verona Chandelier,Elegant Lighting,Lighting > Chandeliers,1200,"V7815G33SS-SS/RC

7815 Verona Collection Chandelier Silver Shade Finish (Royal Cut Crystals)

Dimensions: 
Chain/Rod Length: 60"" 
Length: 33"" 
Width: 33"" 
Height: 52"" 
Wire Length: 173""

Finish: 
Silver Shade

Crystal/Glass Color: Silver Shade (Grey)

Material: 
Steel & Glass

Number of Bulbs: 
15

Product Weight: 
62

Style: 
Transitional",V7815G33SS-SS-1,33,33,52
V7825G43G,Elegant Lighting 25-Light Verona Chandelier,Elegant Lighting,Lighting > Chandeliers,2706,"V7825G43G/EC

7825 Verona Collection Chandelier Gold Finish (Elegant Cut Crystals)

Dimensions:
Chain/Rod Length: 60""
Length: 43""
Width: 43""
Height: 68""
Maximum Height: 128""
Wire Length: 173""

Finish: 
Gold

Crystal/Glass Color: clear

Material: 
Steel & Glass

Number of Bulbs: 
25

Product Weight: 
110

Style: 
Transitional","V7825G43G-1, V7825G43G-2, V7825G43G-3, V7825G43G-4, V7825G43G-5, V7825G43G-6, V7825G43G-7",43,43,68
9712D32DB-GT,Elegant Lighting 12-Light Athena Chandelier,Elegant Lighting,Lighting > Chandeliers,2070,"9712D32DB-GT/RC

Athena Collection Chandelier Dark Bronze Finish Royal Cut Finish 

Athena Collection – Replicating the opulence of Victorian England this timeless design is beautifully etched brass offered in four finishes. Precision cut crystal completes this chandelier to fashion the perfect final touch. Together, they make the Athena Collection a piece of historical elegance to light your living space.

Dimensions:
Chain/Rod Length: 60""
Length: 32""
Width: 32""
Height: 33""
Maximum Height: 93""
Wire Length: 141.73""

Finish: 
Dark Bronze

Crystal/Glass Color: Golden Teak (Smoky)

Material: 
Brass & Crystal

Max wattage: 
720

Number of Bulbs: 
12

Number of crystals: 
911

Product Weight: 
49

Style: 
Traditional","9712D32DB-GT-1, 9712D32DB-GT-2, 9712D32DB-GT-3",32,32,33
9712D32FG-GT,Elegant Lighting 12-Light Athena Chandelie,Elegant Lighting,Lighting > Chandeliers,2070,"9712D32FG-GT/RC

Athena Collection Chandelier French Gold Finish Royal Cut Crystal

Athena Collection – Replicating the opulence of Victorian England this timeless design is beautifully etched brass offered in four finishes. Precision cut crystal completes this chandelier to fashion the perfect final touch. Together, they make the Athena Collection a piece of historical elegance to light your living space.

Dimensions:
Chain/Rod Length: 60""
Length: 32""
Width: 32""
Height: 33""
Maximum Height: 93""
Wire Length: 141.73""

Finish: 
French Gold

Crystal/Glass Color: Golden Teak (Smoky)

Material: 
Brass & Crystal

Max wattage: 
720

Number of Bulbs: 
12

Number of crystals: 
911

Product Weight: 
49

Style: 
Traditional","9712D32FG-GT-1, 9712D32FG-GT-2, 9712D32FG-GT-3, 9712D32FG-GT-4, 9712D32FG-GT-5",32,32,33
9730G53DB-GT,Elegant Lighting 30-Light Athena Chandelier,Elegant Lighting,Lighting > Chandeliers,6690,"9730G53DB-GT/RC

Athena Collection Chandelier Dark Bronze Finish Royal Cut Crystal

Athena Collection – Replicating the opulence of Victorian England this timeless design is beautifully etched brass offered in four finishes. Precision cut crystal completes this chandelier to fashion the perfect final touch. Together, they make the Athena Collection a piece of historical elegance to light your living space.

Dimensions:
Chain/Rod Length: 60"" 
Length: 53"" 
Width: 53"" 
Height: 54"" 
Maximum Height: 114"" 
Wire Length: 141.73""

Finish: 
Dark Bronze

Crystal/Glass Color: Golden Teak (Smoky)

Material: 
Brass & Crystal

Max wattage: 
1800

Number of Bulbs: 
30

Number of crystals: 
911

Product Weight: 
106

Style: 
Traditional","9730G53DB-GT-1, 9730G53DB-GT-2, 9730G53DB-GT-3, 9730G53DB-GT-4, 9730G53DB-GT-5, 9730G53DB-GT-6, 9730G53DB-GT-7",53,53,54
